EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Meteorological - Hydrological	Flood	Montreal and Mauricie Region QC	08/11/1996 12:00:00 AM	Montreal and Mauricie Region QC, November 8-9, 1996. Severe flooding due to heavy rains occurred in the MontrÃ©al and Mauricie regions.  Approximately 150 mm of rain fell on MontrÃ©al in 36 hours; some communities received 160 mm. The flooding caused extensive damage to agricultural lands, public works and private property including 6,000 residences and 100 businesses and industries. Two major highways closed near MontrÃ©al, washed out roads cut off three villages in Mauricie.  In total, 121 municipalities were affected and 1,000 people (425 families) were evacuated. No injuries were reported.	0	0	1000	93089380	6282747.8	09/11/1996 12:00:00 AM	3435141	10709159				78945080		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Ottawa ON	08/08/1996 12:00:00 AM	Ottawa ON, August 8, 1996.	0	0	0	21308000	1438110.2	08/08/1996 12:00:00 AM	0	0				21308000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary AB	24/07/1996 12:00:00 AM	Calgary AB, July 24-25, 1996.	0	0	0	87877643	5930999.5	25/07/1996 12:00:00 AM	0	0				87877643		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saguenay River Valley QC	19/07/1996 12:00:00 AM	Saguenay River Valley QC, July 19, 1996; 290 mm of rainfall in less than 36 hours and caused at least 10 deaths.  Thousands of homes, roads and bridges washed out; Downed power lines.  A total of 15,825 people had to leave their homes.  At least 20 major bridges heavily damaged.  Greater than 50 towns and villages inundated, or main roads destroyed and electricity cut off.  Aluminium plants and paper mills slowed or closed for a month.  At least 3,200 industry workers idling.  3 schools closed. The Canadian Red Cross sent 1600 volunteers to set up a temp office and evacuate people. Overall they assisted 16,000 people.	10	0	15825	300000000	20247469.1	19/07/1996 12:00:00 AM	300000000							0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary AB	16/07/1996 12:00:00 AM	Calgary AB, July 16-18, 1996. The hailstorm caused  flooding; heavy rains and tornadoes were also reported. 911 service was knocked out, causing emergency crews to use regular lines. No injuries were reported. Many vehicles were damaged. Gale force winds, torrential rains swept across the area. There were no reported injuries, however extensive damage was done to homes and gardens.	0	0	0	103000000	6951631	18/07/1996 12:00:00 AM						103000000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Winnipeg MB	16/07/1996 12:00:00 AM	Winnipeg MB, July 16, 1996. Hailstones the size of tennis balls pounded down on the city; crops were flattened south of Winnipeg, trees were stripped, gardens destroyed and windows shattered. Gale force winds, torrential rains, funnel clouds and one tornado were reported. There were no reported injuries.	0	0	0	105000000	7086614.2	16/07/1996 12:00:00 AM	0	0				105000000		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Atikokan ON	05/07/1996 12:00:00 AM	Atikokan ON, July 5-6, 1996.	0	0	0	278061	18766.8	06/07/1996 12:00:00 AM			194537	83524				0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Lesser Slave Lake area AB	17/06/1996 12:00:00 AM	Lesser Slave Lake area AB, June 17-21, 1996. Large amounts of rainfall and a high water table caused flooding. Extensive damage was done to agricultural lands, farms, municipal roads, public works, private property, businesses and residential communities. There were over 700 claims received for property damage. Minor damage occurred to primary highways and bridges, and some dykes were destroyed.  The most severely affected communities were along Driftpile River, Swan River, East Prairie River and Arcadia River. Driftpile First Nation Reserve, Sucker Creek First Nation Reserve, Swan River First Nation Reserve, Municipal District of Big Lakes #125 and East Prairie Metis Settlement incurred damage. In total, 922 people were evacuated.	0	0	922	18159797	1225633.1	21/06/1996 12:00:00 AM	5693853	5466769	6999175					0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Timmins and Dufferin County ON	17/05/1996 12:00:00 AM	Timmins and Dufferin counties ON, May 17-19, 1996.	0	0	0	378557	25549.4	19/05/1996 12:00:00 AM			131518	247039				0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Grey County, Wellington and Dufferin County ON	20/04/1996 12:00:00 AM	Grey, Wellington, and Dufferin counties ON, April 20, 1996. Two F3 class tornadoes touched down in Grey County (Holland Centre), Wellington and Dufferin County. Significant property damage occurred; 9 people were injured by the 2 tornadoes. -80.54  44.122	0	9	0	9404772	634742.8	20/04/1996 12:00:00 AM			621641	439291		8343840		2895455	0
Disaster	Natural	Meteorological - Hydrological	Flood	Red River, Souris River, Assiniboine River and Pembina River MB	18/04/1996 12:00:00 AM	Red River, Souris River, Assiniboine River and Pembina River MB, April 18 - May 8, 1996. Heavy rainfall in the winter, high soil moisture levels and an unseasonably cool spring led to flooding. Thick ice flows and flood water caused damage to bridges, telephone cables, small businesses, roads, agricultural lands, and other community infrastructure. Small communities within the vicinity of Red River, Souris River, Assiniboine River and Pembina River were inundated. Thousands of customers went without telephone service for a week and 285 people were evacuated.	0	0	285	6816377	460047.9	08/05/1996 12:00:00 AM	4430930	2385447						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Flat Bay NL	17/02/1996 12:00:00 AM	Flat Bay NL, February 17-19, 1996. A rainstorm along west coast of Newfoundland, flooding caused extensive damages. Highways and bridges washed away, 30 residents were evacuated by helicopter.	0	0	30			19/02/1996 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Sunny Valley AB	01/01/1996 12:00:00 AM	Sunny Valley AB, 1996.	0	0	0	100307	6769.9	01/01/1996 12:00:00 AM			100307					0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Grande Prairie AB	01/01/1996 12:00:00 AM	Grande Prairie AB, 1996.	0	0	0	57644492	3890516.9	01/01/1996 12:00:00 AM			100110		57544382			0	0
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	South Dumfries ON	01/01/1996 12:00:00 AM	South Dumfries ON, 1996.	0	0	0	99870	6740.4	01/01/1996 12:00:00 AM			22413	77457				0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Southern Ontario	10/12/1995 12:00:00 AM	Southern Ontario, December 10-11, 1995. An early Snowstorm hit southern Ontario with 1015 cm of snow accompanied by wind gusts of up to 90 km/h and a temperature of -40ºC. The storm caused the closing of highways, shopping centres and bridges, including the Peace Bridge between Ontario and New York. Muskoka airport and weather office were evacuated and Bracebridge had to enforce its municipal emergency plan. An elderly man's death was attributed to the storm.	1	0	50			11/12/1995 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southwestern British Columbia	27/11/1995 12:00:00 AM	Southwestern British Columbia, November 27-29, 1995. Heavy rains and melting snow caused the Tulameen and Similkameen Rivers to overflow their banks in four regions: East coast of Vancouver Island, Mainland Coast, Mainland Coastal Valleys and the Interior Valley. The flooding forced 230 people to flee their homes in Princeton, Tulameen and Coalmont. A State of Emergency was declared in Princeton, a town of 2,800 people. Provincial, municipal and private sector properties were damaged. Some homes faced major structural repairs. There were actually three periods of heavy rains: Nov. 7-8, Nov. 13-17 and Nov. 27-29 when 135.4 mm, 395.0 mm and 650.6 mm of precipitation fell, respectively.	0	0	230	18835222	1290083.7	29/11/1995 12:00:00 AM	1915497	5722996	11196729					0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Sudbury ON	16/11/1995 12:00:00 AM	Sudbury ON, November 16, 1995. A cloud of sulphur dioxide was accidentally released from a copper refinery and passed over a part of the city; the leak was from a faulty sample port in the section of the system where sulphur dioxide is converted to sulphuric acid, and the gas was released before conversion; hundreds of residents suffered minor irritations (eye irritations, respiratory problems...); a hospital and a clinic were evacuated; a legal action follow-up occurred.	0	20	0			16/11/1995 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Hamilton ON	05/10/1995 12:00:00 AM	Hamilton ON, October 5-6, 1995.	0	0	0	17419000	1193082.2	06/10/1995 12:00:00 AM	0	0				17419000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Regina SK	26/09/1995 12:00:00 AM	Regina SK, August 26, 1995.	0	0	0	13353120	914597.3	26/09/1995 12:00:00 AM	0	0	235120			13118000		0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Burin Peninsula NL	11/09/1995 12:00:00 AM	Burin Peninsula NL, September 11, 1995. Heavy rains and winds associated with Hurricane "Luis" caused damage to provincial, municipal, and private sector properties on the Burin Peninsula. Some two dozen roads were washed out.	0	0	0	2661890	182321.2	11/09/1995 12:00:00 AM	1274866	1387024						0	0
Incident	Technology	Transportation accident	Rail	Toronto ON	11/08/1995 12:00:00 AM	Toronto ON, August 11, 1995. Two Toronto Transit Commission subway trains collided underground between two stations. Three commuters were killed and 140 other riders were injured. Problems with driver training and communications contributed to the accident. A rookie driver drove through three red lights and the fail-safe breaking system failed. The northbound train then rammed into another train which had stopped because of a faulty signal.  The subway line was closed for eight and a half days.	3	140	0			11/08/1995 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Manitoba	30/07/1995 12:00:00 AM	Southern MB, July 30, 1995.	0	0	0	9018000	617671.2	30/07/1995 12:00:00 AM	0	0				9018000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Calgary AB	17/07/1995 12:00:00 AM	Calgary AB, July 17, 1995.	0	0	0	74559612	5106822.7	17/07/1995 12:00:00 AM			18858612			55701000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Ontario	13/07/1995 12:00:00 AM	Southern Ontario, July 13-15, 1995.	0	0	0	56910000	3897945.2	15/07/1995 12:00:00 AM	0	0				56910000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Alberta	10/07/1995 12:00:00 AM	Southern AB July 10, 1995.	0	0	0	28103000	1924863	10/07/1995 12:00:00 AM	0	0				28103000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	04/07/1995 12:00:00 AM	Edmonton AB, July 4, 1995.	0	0	0	34511612	2363809	04/07/1995 12:00:00 AM			18858612			15653000		0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Sahtu Region of the Northwest Territories	06/06/1995 12:00:00 AM	Sahtu region of the Northwest Territories, June 6-15, 1995.  A Forest fire was first sited in Fort Norman (in the Hamlet of Tulita), and then spread to Norman Wells, Yellowknife and Deline. The fires were started by lightning strikes. Damage was incurred by provincial, municipal and private property.  Fort Norman was evacuated on June 6, and Norman Wells was evacuated on June 9. Norman Wells was under a State of Emergency from June 814.	0	0	950	3432310	235089.7	15/06/1995 12:00:00 AM	504871	202377	2725062					0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Alberta	06/06/1995 12:00:00 AM	Southern Alberta, June 6-9, 1995. Heavy rain and snowmelt led to flooding. The most extensive damage occurred from the Oldman and South Saskatchewan Rivers from Crownest Pass to Pincher Creek, Lethbridge and Medicine Hat. This includes the southern areas of High River. Roads, property, riverbanks, trails, agricultural land and over 20 bridges were damaged. More than 215 homes had flooded basements and some experienced short power outages.	0	0	0	154623306	10590637.4	09/06/1995 12:00:00 AM	34061897	9324782	12672842	76670115		21893670		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southeastern British Columbia	05/06/1995 12:00:00 AM	Southeast region of British Columbia, June 5-9, 1995. Significant amounts of rainfall in the southern Rockies caused flooding in the East Kootenay (Elk River Watershed) Region. Provincial, municipal and private sector properties were damaged in the Kootenay Region and in the municipalities of Sparwood, Fernie, Princeton, Cranbrook and Erickson. There were 36 homes damaged, 2 road bridges and 1 CPR rail bridge washed out. On June 6, 702 residents were evacuated from Fernie and 100 residents evacuated from Sparwood.  The evacuations lasted until June 9.	0	0	802	7155707	490116.9	09/06/1995 12:00:00 AM	1685853	5469854						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	East Kooteney (Elk River-Watershed) Region and the municipalities of Sparwood, Fernie and surrounding areas BC	01/06/1995 12:00:00 AM	East Kooteny (Elk River-Watershed) Region and in the municipalities of Sparwood, Fernie and surrounding areas BC, June 1995.  Severe flooding due to heavy rains.	0	0	0	7155707	490116.9	01/06/1995 12:00:00 AM	1685853	5469854						0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	North Central Saskatchewan	29/05/1995 12:00:00 AM	North central Saskatchewan, May 29, 1995. Lightning started 56 fires on May 29 and as the season progressed, 2,500 people were evacuated from 16 communities and 18 highways were closed. At the height of the outbreak, 4,000 people were fighting the fires.  While there was no loss of life and minimal loss of structures, 16,000 square kilometres (160,000 hectares) of forest were burned and 48 million cubic meters of wood were lost.	0	0	3338	91585747	6272996.4	29/05/1995 12:00:00 AM			91585747					0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Western MB	01/04/1995 12:00:00 AM	Western MB, April 1995.  In April, rapid snowmelt sent very high flows into the Assiniboine River and the Red River below the Shellmouth Dam.  Spring runoff and two heavy snowfalls of 20-30 cm each in late March had contributed to the flooding problem.  Public road networks, urban and rural properties and agricultural lands suffered damage. Damage occurred at over 100 locations on the provincial highway system, at over 5500 sites on municipal roads and to large culverts and bridges.  Seventy communities were inundated in Manitoba, including: Roblin, Russell, Binscarth, Birtle, Glenora, Pilot Mound, Melita, Virden, Elkhorn, Boissevain, Springfield, Brandon and Minnedosa. The hardest hit areas were Brandon and Shellmouth along the Assiniboine River.  Both a small town of 50 people and the Sioux Valley First Nations Reserve were evacuated. Refer to the Saskatchewan entry for more information on this weather system.	0	0	100	4205645	288057.9	01/04/1995 12:00:00 AM	1816719	2388926						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Northeastern Saskatchewan	01/04/1995 12:00:00 AM	Northeastern Saskatchewan, April 1995. An unusual quick thaw combined with spring rain early in the season caused extensive flooding in Eastern Saskatchewan.  The flooding caused damage to agricultural lands, urban, rural, public and private properties. Numerous Saskatchewan communities declared a State of Emergency, including: Quill Lake, Engleford, Langeburg and the City of Melville. Other inundated areas were: Carrot River, Moosomin, White Sands, Yorkton, Melfort and Nipawin. Refer to the Manitoba entry for more information on this weather system.	0	0	0	7572381	518656.2	01/04/1995 12:00:00 AM	4784560	2787821						0	0
Disaster	Natural	Meteorological - Hydrological	Avalanche	Blanc Sablon QC	10/03/1995 12:00:00 AM	Blanc Sablon (lower north coast) QC, March 10, 1995. An large snow storm provoked an avalanche (2000 m³ of snow).  Two people were killed, a house destroyed, 24 residences were evacuated. The avalanche affected 69 people in total.	2	0	69	368160	25216.4	10/03/1995 12:00:00 AM			368160					0	0
Incident	Technology	Hazardous Chemicals	Derailment Release	Hervey Junction QC	21/01/1995 12:00:00 AM	Hervey Junction QC, January 21, 1995. 28 of 44 rail cars containing sulphuric acid became derailed and spilled the majority of their contents; a total of 234 m³ of acid spilled into Masketi Lake and the Towachiche River; the pH of the lake descended to 2.7 but rose to 5.3 after the addition of 170 tonnes of limestone and soda; all vegetation and wildlife were destroyed; the lake was closed for recreation for eight years, the river for five.	0	0	0			21/01/1995 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Poplar Bay AB	01/01/1995 12:00:00 AM	Poplar Bay AB, 1995.	0	0	0	35830	2454.1	01/01/1995 12:00:00 AM			35830					0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Quebec	01/01/1995 12:00:00 AM	Quebec, 1995.	0	0	0	57478	3936.8	01/01/1995 12:00:00 AM			57478					0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Avalon area of Newfoundland and Labrador	08/12/1994 12:00:00 AM	Avalon area of Newfoundland and Labrador, December 8-12, 1994. A severe storm with winds up to 168 km/hr and a build-up of wet snow of up to 15 cm in diameter on wires caused major damage to the transmission and distribution systems on the Avalon, Burin and Bonavista Peninsulas.  For various periods of time, service was disrupted to approximately 100,000 customers.  Full service was not restored to all customers until Dec.16.	0	0	0			12/12/1994 12:00:00 AM	0	0						3189873	0
Incident	Technology	Explosion	Non-Residential	Montreal QC	21/10/1994 12:00:00 AM	Montreal QC, October 21, 1994. A building of a bankrupt petrochemical industry was being cleaned and prepared for use after three years of inactivity; an unused reservoir of 700 m³ of a mix of fuel-oil and light hydrocarbons exploded and burned; two workers were nearby, one was killed immediately, the other suffered burns on 80% of the body and died soon after; it took 50 fire fighters 3 hours to extinguish the blaze; a 2 month clean-up and preparation preceded the restart of paraxylene production.	2	0	0			21/10/1994 12:00:00 AM	0	0						0	0
Incident	Technology	Hazardous Chemicals	Derailment Release	Lethbridge AB	17/10/1994 12:00:00 AM	Lethbridge AB, October 17, 1994. Six railway cars containing a total of 250 tonnes of methanol became derailed from some damaged tracks just north of downtown Lethbridge; the seals were broken on two of the cars, allowing the methanol to escape; local fire fighters attempted to limit the spread of the chemical by erecting earth dams, covering the spill with extinguishing foam, and filling the rail cars with water; electricity and natural gas supply were cut; 200 people were evacuated for 24 hours.	0	0	200			17/10/1994 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern ON	28/08/1994 12:00:00 AM	Southern ON, August 28, 1994.	0	0	0	7876000	551411.9	28/08/1994 12:00:00 AM	0	0				7876000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Manitoba	27/08/1994 12:00:00 AM	Southern MB, August 27, 1994.	0	0	0	14196201	993899.7	27/08/1994 12:00:00 AM			5346201			8850000		0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Aylmer QC	04/08/1994 12:00:00 AM	Aylmer QC, August 4, 1994. A F3 tornado hits the heavily populated district of Aylmer. 385 houses sustained damages, 12 being totally destroyed and 40 being heavily damaged. 250 families had to be evacuated (based on family of 4), and 4 people were injured.	0	4	1000	7786393	545138.4	04/08/1994 12:00:00 AM			246393			7540000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Salmon Arm BC	04/08/1994 12:00:00 AM	Salmon Arm BC, August 4, 1994.	0	0	0	11155000	780980.2	04/08/1994 12:00:00 AM	0	0				11155000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southwestern Manitoba	01/08/1994 12:00:00 AM	Southwestern MB, August 1, 1994.  The hailstorm caused 100% damage in some parts of the province.  About 1000 people were affected.	0	0	0	3189873	223328.3	01/08/1994 12:00:00 AM				3189873				0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	British Columbia	24/07/1994 12:00:00 AM	British Columbia, July 24, 1994.  A Forest fire that destroyed 5.9 ha of land caused the evacuation of 3000 people.	0	0	4169			24/07/1994 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Alberta	18/06/1994 12:00:00 AM	Southern Alberta, June 18, 1994.	0	0	0	30969155	2168202.2	18/06/1994 12:00:00 AM			21910155			9059000		0	0
Incident	Technology	Explosion	Non-Residential	Sydney NS	25/05/1994 12:00:00 AM	Sydney NS, May 25, 1994. An explosion and fire of a PCB transformer at a steel factory threatened to cause a major toxic discharge; the surrounding residents were alerted by the noise, pungent, thick smoke, and simultaneous electrical black-out; 500 residents downwind of Witney Pier were evacuated to at least 10 km away; analysis of the soil in the residential area did not reveal contamination by PCB, dioxin, nor furan; a five-week clean-up by specialised contractors was carried out, producing 15 barrels of hazardous waste requiring authorised disposal.	0	0	500			25/05/1994 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Saskatchewan	22/05/1994 12:00:00 AM	Saskatchewan, May 22, 1994.	0	0	0	9589470	671374.8	22/05/1994 12:00:00 AM			69470			9520000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern Manitoba	18/05/1994 12:00:00 AM	Southern MB, May 18, 1994.	0	0	0	9074000	635285.9	18/05/1994 12:00:00 AM	0	0				9074000		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Plaster Rock NB and Lower St. Lawrence Region QC	16/04/1994 12:00:00 AM	Plaster Rock NB and Lower St. Lawrence Region, QC, April 16-26, 1994. Freshet during the spring and one rainstorm caused flooding of the Saint John and Miramachi Rivers. Flooded basements, riverbank erosion and damaged roads was incurred by private, municipal and provincial property. Over 130 residences, 20 farms, 14 small businesses and the following 4 municipalities were affected: Village of Clair, St. François, Rivière Verte and Plaster Rock.  In Quebec, ice jams along the Matapédia, Restigouche and Gaspésie Rivers caused flooding. Thirty-two municipalities were flooded, including the following: Rimouski, Matane, Bonaventure, Restigouche, Matapédia, Petite Cascapédia and Capchat. Matapédia was isolated for 2 days without electricity or telephone service; 100 people were evacuated. Three bridges were washed away in the lower St. Lawrence area, and communication between southern and northern St. Lawrence shore was cut.	0	0	0	57025698	3992464.3	26/04/1994 12:00:00 AM	1944488	31903387	1681761	21496062				0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Southern ON	28/01/1994 12:00:00 AM	Southern ON, January 28, 1994.	0	0	0	6799000	476009.3	28/01/1994 12:00:00 AM	0	0				6799000		0	0
Disaster	Natural	Meteorological - Hydrological	Cold Event	Alberta to Maritimes	23/01/1994 12:00:00 AM	Alberta to the Maritimes, late January to early February 1994. Coldest Jan. in 100 years.  St. John's NF 14.5Â°C; Ottawa ON -31.3Â°C; Kapuskasing ON -40Â°C, tires fell off rims of cars.  Coldest winter in Toronto since 1920, with double the normal snowfall as usual in January and 5 degrees cooler (at 10Â°C).  Dramatic increase in frozen water pipes that burst and caused damage to homes, commercial plants and contents.	0	0	0	45995	3220.2	06/02/1994 12:00:00 AM			45995					0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern ON	16/01/1994 12:00:00 AM	Southern ON, January 16-17, 1994.	0	0	0	14299000	1001096.8	17/01/1994 12:00:00 AM	0	0				14299000		0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Montreal and area QC	05/01/1994 12:00:00 AM	Montreal QC, January 5, 1994. Snowfalls of up to 25 cm, winds gusting to 70 km/hr, temperatures of 18°C or lower and almost zero visibility caused major highway accidents that killed at least 6 people near Montréal and caused up to 100-car pileups; airports, bus terminals and many highways, bridges and tunnels were closed; prolonged power failures left about 6000 homes in Montréal without heat or light overnight.	6	0	0			05/01/1994 12:00:00 AM	0	0						0	0
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Kirkland Lake ON	26/11/1993 12:00:00 AM	Kirkland Lake ON, November 26, 1993. Two miners were trapped following a rockburst 2 km below the surface: rescue efforts failed: the bodies were not recovered.	2	0	0			26/11/1993 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Quebec and Ontario	01/11/1993 12:00:00 AM	Ontario and Quebec, November 1993 – March 1994.	0	0	0			01/03/1994 12:00:00 AM								0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Windsor ON	17/10/1993 12:00:00 AM	Windsor ON, October 17, 1993. A leaking fuel line connected to a storage tank released 4500 litres of fuel oil to the storm sewer system which leads to the outfall into the Little River and subsequently into the Detroit River; the outfall and then the entrance to the Detroit River were boomed; 30 to 40 ducks were affected; area Wildlife Rescue performed bird rescue and clean-up operations.	0	0	0			17/10/1993 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Storm Surge	Tuktoyaktuk and Mackenzie Delta NT	23/09/1993 12:00:00 AM	Tuktoyaktuk and Mackenzie Delta NT, September 22, 1993. A severe storm with winds from the northwest of up to 96 km/h generated a 1.68 m surge and raised water levels to 2.2 m above chart datum. Coincident with approximately 90% open water offshore, waves were relatively powerful and, together with the high water levels, resulted in damage to or destruction of about half the shore protection at Tuktoyaktuk, and flooding in the community and parts of the Mackenzie Delta.	0	0	0			23/09/1993 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saskatchewan	29/07/1993 12:00:00 AM	Saskatchewan, July 29, 1993.	0	0	0	6503703	455867	29/07/1993 12:00:00 AM			613703			5890000		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Quebec	29/07/1993 12:00:00 AM	Quebec, July 29-30, 1993.	0	0	0	10017238	702142.9	30/07/1993 12:00:00 AM			1675238			8342000		0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Edmonton AB	29/07/1993 12:00:00 AM	Edmonton AB, July 29, 1993.	0	0	0	21095828	1478679.5	29/07/1993 12:00:00 AM			12398407			8697421		0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Winnipeg MB	25/07/1993 12:00:00 AM	Winnipeg MB, July 25 - August 14, 1993. The City of Winnipeg was declared a disaster area because of flooding caused by prolonged heavy rainfall; three severe rainstorms in a five-week period during July caused sewer backups and other extensive damage to homes, power lines, and agricultural land infrastructure in Winnipeg and surrounding areas including Selkirk, Springfield and Beausejour.  Wettest summer in Winnipeg in 120 years.	0	0	0	214807255	15056583.3	14/08/1993 12:00:00 AM	11555527	3763948				199487780		0	0
Incident	Technology	Hazardous Chemicals	Leak / Spill Release	Truro NS	14/07/1993 12:00:00 AM	Truro NS, July 14, 1993. A refrigeration leak resulted in liquid anhydrous ammonia flowing into a floor drain and into the Salmon River causing a major fish kill.	0	0	0			14/07/1993 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Swan River MB	04/07/1993 12:00:00 AM	Swan River MB, July 4, 1993. Prolonged rains resulted in severe flooding in the rural municipalities of Swan River, Minitonas, Ethelbert, the Local Government district of Mountain and adjoining municipalities, causing extensive damage to homes, public utilities and municipal infrastructure. 7 bridges washed away.  3 highways and numerous roads closed. 650 homes were evacuated.	0	0	650	5738341	402220.2	04/07/1993 12:00:00 AM	2935683	2802658						0	0
Incident	Technology	Hazardous Chemicals	Vehicle Release	Shubenacadie NS	27/04/1993 12:00:00 AM	Shubenacadie NS, April 27, 1993. A tractor trailer and pup trailer containing hazardous materials hit an ice patch and overturned, causing the leak of chemicals including nitric acid, potassium hydroxide and sodium hydroxide; 20 homes were evacuated (50-60 people) for a few hours; a school was closed for the day (480 students); the highway was closed during the response and clean-up; environmental damages were minimal.	0	0	60			27/04/1993 12:00:00 AM	0	0						0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Upper Saint John River Valley NB	12/04/1993 12:00:00 AM	Upper Saint John River valley NB, April 1993. Intense spring rainfall and deeper than normal snowpack caused flooding of the Upper Saint John River valley. Public and private property and municipalities incurred damage; individuals made over 300 damage claims due to flooded basements. A sewage treatment plant, sections of the TransCanada Highway and Hotel-Dieu Hospital all sustained damage. Ice, mud and uprooted trees were scattered across the area. The following communities were inundated: Siegas, Fredericton, RiviÃ¨re Verte, Village of Perth-Andover, Village of Plaster Rock, Ste. Anne de Madawaska, Town of Woodstock, St. FranÃ§ois and Quisesibis.	0	0	300	14973222	1049524.9	12/04/1993 12:00:00 AM	6500013	2349112	3808712		2315385			0	0
